demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.582369,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.733154,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.err.txt,b30c7400eb2f36824550794d8c440ae34c80c91bfa9e5f80ab32c831d42e10df,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,17.649634,be1384b930644f1d3e142422a1603811e2363014c4824850de0b205d4519bc8f,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,490c7fd5bb2f5c2a04fa77a59329e9aa926c826a09fd4a25f3c849bbe9436f4e,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.2392,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,0110f65805a6d5dc77b591c18be08a1b4eb30edff8b865cd0543cafebb9bce62,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.312955,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/cosmo__demo-39-bb-a2.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/cosmo__demo-39-bb-a2.err.txt,89d28e0c99e356c642654612236d926423964dc650eff4ccc61513e7ae20fbbf,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.196481,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/substrate__demo-40-universe-from-zero.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/substrate__demo-40-universe-from-zero.err.txt,ee363502d029940d65bc6b472d3c707c739bbd54eff5c753eb8adeedcd66d425,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.0619,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,0d2bc44403aea1f48d3fa14e0d4a31c07a69f611fd9141d49ed69bcfb8285c06,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.594488,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/foundations__demo-53-lawbook-emergence.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,2.867271,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,33d80ec2ec5f45d2db8aed33cc41b638bcb10a5dbdcdaeb95d0095ffc0e24605,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.056323,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T025942Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,47e96e0a0994546aa76d5c8ec7304754654f64338bec806b821a9a8e1f407f4d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
