demo_id,domain,name,value,units,source_path,source_sha256,locator
36,cosmo,cosmo_structural.Omega_b,0.04498189308849704,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.Omega_b
36,cosmo,cosmo_structural.Omega_c,0.12621133109296742,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.Omega_c
36,cosmo,cosmo_structural.delta0,1.1408430115564869e-06,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.delta0
36,cosmo,cosmo_structural.deltaCMB,1.000475284975453e-05,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.deltaCMB
36,cosmo,cosmo_structural.ell1,219.94908732407637,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.ell1
36,cosmo,cosmo_structural.n_s,0.9647460711549101,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.n_s
36,cosmo,cosmo_structural.ombh2,0.02232504159011641,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.ombh2
36,cosmo,cosmo_structural.omch2,0.0626401652382878,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.omch2
36,cosmo,cosmo_structural.q3,17.0,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.q3
36,cosmo,cosmo_structural.tau,0.05397948497016616,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,cosmo_structural.tau
36,cosmo,counterfactuals[0].s2,263,,demos/cosmo/demo-36-big-bang-master-flagship/bb36_master_results.json,1b7860e585265e7778aad20048fc2ea6ca8b825f303c239f3ae5e58a23dd18b9,counterfactuals[0].s2
